"";"idno";"INTNUM1";"rowsum"
"1122";1817;2005;16902957,6318781
"780";1317;3165;16903637,1404834
"1136";1836;3010;16908503,9541333
"1569";2514;3104;16919714,5422638
"13";16;19034;16922769,3660027
"1580";2529;9044;16931622,7719374
"415";733;20044;16935038,0556169
"1573";2519;3104;16939657,6413736
"270";447;20037;16950542,358881
"1331";2125;2011;16963057,9606614
"299";504;20022;16963227,7754982
"1476";2375;3132;16974441,2793558
"1616";2594;8262;16977403,1197119
"1321";2114;30002;16986184,0069523
"110";159;7008;17000038,7790591
"1440";2302;11013;17005555,1108098
"197";300;21021;17012450,5944893
"1383";2214;1086;17024034,7826199
"247";412;25024;17045968,4093261
"408";719;25024;17046709,8639255
"1232";1981;9082;17059095,0449344
"1407";2247;15043;17090643,0324715
"359";627;20039;17118382,4253499
"332";569;21033;17163851,990335
"113";162;7008;17197502,6603647
"284";471;23038;17212458,7938959
"785";1330;3165;17219384,8918187
"756";1281;37022;17247866,4496822
"574";1010;1060;17255922,4787623
"1365";2188;39022;17256532,0057653
"1339";2134;2011;17258764,1956763
"314";542;21082;17277299,3131837
"193";290;21021;17294061,1404834
"944";1550;3156;17315563,6146674
"135";195;30018;17337481,1351422
"1213";1948;4134;17410004,3873677
"1429";2281;11013;17538348,874608
"1205";1936;8102;17554425,9808395
"1265";2026;19051;17560201,0372193
"1362";2183;9035;17608250,7950828
"852";1423;9063;17615131,7844003
"398";699;22025;17620122,2366258
"1632";2615;10106;17627167,8407801
"865";1444;11092;17650773,9149641
"1302";2086;39020;17670701,3933024
"386";669;20070;17687005,0146674
"1504";2416;4050;17699533,8176347
"808";1368;15044;17805450,4010175
"1492";2400;3153;17819990,2894448
"1475";2370;3171;17844025,7446377
"840";1406;15015;17856638,5766852
"6";7;6049;17861066,3749048
"888";1478;10086;17886467,3327683
"639";1110;39025;17899324,8093261
"1629";2610;10106;17945683,4941926
"438";779;15050;17954226,1493855
"254";420;25024;17958343,644341
"465";814;39051;17970590,7256466
"966";1584;10090;17970690,5185249
"437";778;15050;17971888,6538365
"1059";1721;8268;17974631,0995339
"1230";1979;9082;17982513,4526496
"716";1218;1030;17988605,25443
"641";1113;39025;18006132,4603647
"161";240;10092;18037327,9968632
"984";1612;10120;18038998,7648158
"696";1190;3115;18047309,1256466
"1630";2613;10106;18184077,0419671
"1192";1915;10108;18226021,9511659
"797";1354;3110;18304699,5404834
"1319";2111;30002;18305911,85443
"1682";2690;9093;18335051,3553202
"1186";1906;10108;18355865,927427
"334";573;21033;18407927,9944893
"1361";2182;9035;18429663,2924122
"1467";2355;6100;18444964,5980502
"341";593;25072;18500068,0366258
"1673";2679;2002;18586134,7909285
"977";1599;9022;18589257,0389997
"1380";2210;39052;18709322,5772787
"1379";2209;39052;18747843,8603647
"570";1005;1059;18814211,5844003
"623";1083;1071;18822234,2769819
"1454";2334;6100;18872951,2668929
"24";32;19034;18876112,781433
"400";711;23032;18904863,3642223
"515";908;7008;18915659,833065
"2";3;6049;18933640,5102163
"1124";1819;2005;18935049,4716407
"1075";1746;12045;18941583,6324715
"351";614;20039;18983572,4591778
"1564";2505;10103;19024259,9784656
"361";629;20039;19039882,8265368
"907";1502;12031;19050710,6211956
"1411";2253;25155;19069844,5143707
"363";633;25131;19079758,2841036
"490";871;10155;19082592,8817297
"1111";1804;12046;19168679,3493855
"269";446;29022;19172089,3511659
"1132";1832;2005;19179925,065706
"1151";1859;3011;19210349,3725309
"1058";1720;8265;19370123,5220858
"1651";2643;20062;19371928,3885546
"993";1626;10081;19382131,4105131
"296";496;29090;19383398,4639255
"600";1046;37020;19497561,0300977
"1138";1838;3010;19559344,9149641
"1334";2129;2011;19584611,9849938
"1070";1737;8118;19599970,201611
"994";1627;10081;19617471,128614
"1012";1655;8258;19625419,4324715
"1009";1651;8258;19631591,938703
"244";403;25106;19638051,5232727
"580";1018;1060;19642614,0585843
"747";1266;39003;19670052,275795
"1495";2404;3153;19671857,9345487
"670";1157;10091;19674326,4609582
"292";490;29090;19674866,1737178
"765";1295;3038;19688994,9131837
"702";1199;15007;19690579,8223825
"538";953;10080;19695438,6289107
"57";75;10039;19702328,4366258
"1080";1752;12045;19717246,3197119
"833";1398;15015;19778606,0259433
"498";883;9085;19793572,5197119
"549";969;8250;19883512,1339552
"516";912;7008;20005190,0591778
"222";358;23048;20010699,8484953
"737";1247;6049;20037210,5838069
"624";1087;1054;20038676,9660027
"189";283;25065;20051236,8366258
"66";88;15047;20075662,7256466
"1277";2045;9099;20120792,8514626
"1010";1652;8258;20122429,7737178
"987";1616;10082;20124003,0918187
"1207";1938;8102;20131265,7796525
"1191";1914;10108;20131780,0900383
"500";886;9085;20159031,8401867
"752";1272;39003;20179900,0140739
"163";243;10092;20183802,0318781
"1115";1809;12046;20201307,3078425
"807";1367;26025;20237054,0490888
"730";1238;6049;20240396,5428573
"788";1335;3165;20255826,7576941
"174";257;24094;20280752,1950828
"1064";1728;8265;20305826,8668929
"1256";2015;23085;20374582,033065
"632";1101;22052;20398962,5517594
"1266";2028;19051;20411062,358881
"1638";2622;21041;20427725,2930057
"586";1024;1059;20516964,3025012
"544";962;10080;20540989,685884
"1150";1858;3010;20562688,927427
"1433";2291;11082;20646345,9398899
"1322";2115;30002;20690743,2662994
"1032";1680;3174;20698541,1725309
"847";1416;11008;20703965,6912252
"1480";2380;3171;20706998,3576941
"1275";2039;9099;20714323,8686733
"290";486;20022;20725413,864519
"126";181;15018;20727855,0680798
"1281";2053;9061;20732810,507249
"531";942;22052;20740429,507249
"201";305;21021;20751175,7220858
"100";143;19002;20752291,4022045
"145";215;38060;20769893,033065
"1501";2413;4050;20771527,8799493
"733";1243;6049;20772836,9096229
"1185";1905;10108;20777788,9446377
"573";1008;1060;20782089,3553202
"1240";1991;9082;20791085,8995339
"319";548;21082;20801755,4912252
"1258";2018;19051;20819302,8087327
"1242";1994;19002;20819822,4283172
"383";663;20070;20897923,6033914
"421";750;4216;20906834,0176347
"1239";1990;9082;20928835,9885546
"427";761;37001;20948598,8241629
"821";1383;11033;20954052,0336585
"1522";2447;38064;21014421,8621451
"1647";2638;6049;21040346,8639255
"954";1567;18064;21055410,781433
"1120";1815;2005;21151763,5155576
"1359";2177;9035;21339059,5422638
"1212";1946;4213;21428933,3553202
"279";461;23038;21677080,7529463
"413";730;20044;21984000,2449344
"198";301;21021;21985663,7855873
"221";355;23048;22109277,7404834
"575";1011;1060;22182950,4479018
"952";1565;18064;22188403,9232727
"862";1436;11092;22197513,0793558
"391";682;20041;22225102,728614
"1387";2221;1086;22256862,5351422
"468";819;39051;22259928,5737178
"64";85;15050;22291961,3529463
"423";754;4216;22309990,1167445
"905";1500;12031;22314009,4146674
"956";1573;18064;22315234,8211956
"412";729;20044;22321747,7523528
"273";454;23054;22340377,1885546
"760";1289;37022;22371938,3933024
"1094";1778;1030;22391906,3375161
"1047";1703;8265;22462161,4194152
"276";458;23038;22621669,2484953
"1346";2158;9074;22770974,243154
"1360";2181;9035;22812659,8039849
"935";1537;18013;22888015,6947861
"1408";2248;15043;22930386,9042816
"920";1519;12000;22936621,4223825
"743";1258;39003;22959769,0093261
"522";927;38074;22960206,5832134
"683";1172;38041;22968873,3749048
"1658";2658;19003;22974712,2306911
"551";971;8250;22975558,3879611
"945";1556;3156;22979116,960068
"456";801;22089;22989697,8407801
"1175";1892;4114;22993541,8117
"649";1131;2074;23016383,790335
"1116";1811;2005;23027233,65443
"1656";2656;19003;23041372,3226793
"1343";2154;9074;23043956,4075457
"84";115;30027;23048233,25443
"594";1040;21040;23048816,0057653
"723";1229;3130;23049558,7885546
"277";459;23054;23052537,2395932
"882";1467;3089;23070356,0093261
"810";1370;15044;23091307,9298009
"238";391;25004;23118404,2870709
"370";644;25131;23121481,2164478
"1373";2200;39052;23123382,0651125
"1435";2294;11082;23191504,5452312
"939";1542;18013;23311309,3772787
"107";151;19061;23353353,465706
"750";1270;39003;23373483,0354389
"931";1531;10039;23375611,4823232
"875";1458;11078;23383793,6407801
"37";53;10080;23409222,2787623
"1543";2476;3104;23419987,9772787
"1409";2249;15043;23453773,7262401
"1389";2223;1086;23534403,5446377
"887";1477;10086;23550712,4633321
"829";1391;11030;23580166,9909285
"45";62;10080;23592591,0455279
"562";984;10073;23595061,6378128
"665";1152;10091;23608624,4508692
"304";513;25018;23627622,1090294
"282";468;23054;23655803,822976
"1255";2014;23085;23663444,5897416
"640";1112;39025;23695213,6283172
"1092";1771;1030;23718483,1820264
"485";855;10017;23720400,0354389
"1063";1727;8118;23723081,5671896
"512";903;7008;23732088,9731244
"543";960;10080;23740673,5321748
"974";1596;9022;23740923,9410769
"1278";2046;9061;23765201,5844003
"242";401;25106;23776800,8888514
"1644";2633;6049;23777329,0063588
"876";1459;3089;23782191,8194152
"1352";2168;8187;23811125,8366258
"303";512;25018;23826662,0069522
"1650";2642;21040;23829702,0829166
"431";766;37001;23846698,7327683
"128";183;30018;23862774,0900383
"1024";1668;15055;23868061,4336585
"1418";2262;25155;23895019,5944893
"1311";2097;18040;23909450,7950828
"1442";2306;11085;23929475,0674864
"178";264;24094;23946037,1416703
"1593";2547;22052;23970198,6063588
"27";40;18026;23992332,6894448
"1288";2066;25056;24006881,9636288
"1371";2198;39022;24013321,4793558
"457";803;22089;24024841,2591778
"1184";1904;10108;24030479,2265368
"709";1208;15007;24037319,1879611
"381";660;20070;24042149,1772787
"1676";2683;9091;24044242,790335
"1011";1654;8258;24057930,6603647
"1377";2207;39052;24072508,444341
"1550";2484;3104;24089957,6734211
"895";1489;10039;24094104,8318781
"559";979;10073;24099562,8081392
"942";1547;18013;24102921,706062
"885";1470;3089;24112587,685884
"854";1426;9063;24118153,6069523
"258";425;25024;24126045,0983469
"345";604;25072;24223847,3078425
"901";1496;10039;24344515,8562104
"1390";2224;1086;24409076,2882579
"675";1163;38041;24532258,0182282
"76";103;15050;24546748,8870709
"1350";2166;8187;24553724,6888514
"1320";2113;30002;24560365,8419671
"856";1428;9063;24567053,9452312
"953";1566;18064;24573125,8033914
"669";1156;10091;24573832,8437475
"1068";1734;8265;24585108,170157
"918";1517;12000;24585253,7986436
"735";1245;6049;24598612,7398899
"1146";1851;3010;24615254,1565071
"691";1183;3107;24623200,3345487
"1598";2556;3040;24630294,117338
"1204";1935;8102;24653315,1392965
"65";86;15047;24667610,7630353
"1665";2668;2002;24674435,8099196
"1509";2422;38038;24674678,4437475
"789";1338;3165;24684280,0045784
"687";1178;3107;24685065,0514626
"1625";2606;10106;24685568,9820264
"871";1453;11078;24690063,5410769
"1392";2226;1086;24697449,0728276
"1013";1656;8258;24703484,6846971
"694";1188;3115;24717879,9226793
"809";1369;15044;24729020,1030947
"1125";1820;2005;24756796,2568039
"1453";2333;6100;24894604,2722341
"1244";1997;19002;25141606,5428573
"682";1170;38041;25170106,5826199
"1458";2341;6100;25232202,0164478
"1053";1711;8118;25254806,65443
"112";161;7008;25256969,0716407
"1128";1824;2005;25274647,1950828
"1201";1932;8102;25364817,444341
"1374";2202;39052;25525136,5357356
"1602";2571;25042;25563688,6069523
"668";1155;10091;25600560,6033914
"101";144;19061;25608616,5553202
"1298";2077;39059;25623883,1404834
"1107";1796;6007;25629317,107249
"508";898;39060;25629470,833065
"165";245;10092;25654248,421789
"259";426;25024;25658429,2965665
"763";1292;3117;25660615,1238662
"1372";2199;39022;25718055,443154
"511";901;7008;25732170,4057653
"18";23;19034;25746602,5630353
"79";108;30027;26016304,8597712
"479";843;10152;26059764,9191184
"1526";2452;38064;26155607,9114033
"681";1169;38041;26204644,581433
"1422";2269;11013;26252427,7481985
"983";1609;10120;26299666,6829166
"1073";1743;8254;26324377,2538365
"1595";2552;3040;26336038,8289107
"941";1546;18013;26416664,6407801
"119";171;15018;26426123,7553202
"67";90;15047;26427473,9938959
"555";975;8250;26589126,5238662
"1532";2458;38064;26735981,1754982
"316";544;21082;26980358,1422638
"1119";1814;2005;27030290,5137772
"50";67;10050;27064073,6146674
"1354";2170;8187;27080288,043154
"778";1313;3038;27082772,1054686
"1026";1673;15055;27084151,695973
"804";1362;26025;27092758,6556169
"1268";2031;9061;27112693,3114033
"1076";1748;12045;27171368,1992371
"231";373;24038;27174645,8568039
"477";836;10155;27210867,0983469
"133";191;30018;27212695,8882579
"121";173;15018;27239477,5820264
"156";229;25007;27250849,5517594
"1304";2088;39020;27321522,8384063
"666";1153;10091;27573557,1042816
"1247";2002;19002;27642621,4247564
"1174";1891;4114;27654098,0704537
"686";1177;3107;27675463,9131837
"1061";1723;8268;27682381,644341
"872";1455;11078;27801337,6526496
"1554";2490;3150;27859280,8461214
"1249";2005;23085;27860785,6983469
"146";216;38060;27948040,7873677
"1608";2581;10081;27969479,7416704
"757";1284;37022;27997256,0532431
"566";990;10073;28020688,380246
"1220";1960;8230;28059208,9660027
"1316";2105;18040;28101265,2514626
"1211";1942;4134;28375775,2550235
"55";73;10050;28549644,7879612
"1626";2607;10106;28618245,4170413
"571";1006;1060;28623212,1013143
"268";441;29022;28626517,2823232
"1357";2173;8187;28638939,674608
"25";37;19034;28666601,9992371
"380";659;20070;28672829,1232727
"46";63;10080;28690573,6906318
"286";473;23054;28696322,2769819
"11";14;19034;28696383,8211956
"1160";1873;3011;28710959,8395932
"825";1387;11030;29009939,6027979
"1486";2388;3132;29073521,9968632
"514";907;7008;29117896,0140739
"1206";1937;8102;29137419,8752015
"1228";1976;8230;29577464,1404834
"425";757;37001;29587561,9446377
"446";789;1071;29588649,4259433
"311";538;21082;29595112,6680798
"909";1505;12031;29598125,2378128
"786";1331;3165;29604244,4674864
"542";958;10080;29607896,0312846
"308";532;21082;29609564,7220858
"484";853;10017;29610376,7268336
"659";1145;11007;29612299,8811362
"233";375;24038;29615979,7855873
"194";291;21021;29618444,5214923
"541";957;10080;29619949,927427
"342";596;25072;29620961,29716
"817";1377;15044;29622591,3143706
"1531";2457;38064;29624594,3944893
"1309";2095;39020;29625061,833065
"237";390;25004;29626214,0188217
"350";613;25035;29627477,6081392
"1273";2037;9099;29628089,6835101
"1035";1684;3174;29630499,5149641
"1052";1710;8268;29633299,1897416
"1131";1831;2005;29634825,8799493
"504";894;39060;29639021,5268336
"312";540;21082;29641945,7891481
"1478";2377;3171;29642411,8597712
"1416";2260;25155;29643109,7624419
"870";1452;11078;29644094,1950828
"29";42;18026;29645225,590335
"1685";2693;9091;29647089,1019077
"1378";2208;39052;29652768,6704537
"1224";1969;8103;29653946,4188217
"401";712;23032;29656338,4188217
"267";435;20037;29661497,6526496
"1156";1866;3010;29665685,9096229
"775";1308;3117;29671350,7648158
"528";938;38074;29671469,8870709
"44";60;10080;29673754,9493855
"1426";2277;11082;29675205,5505724
"1618";2597;8262;29683026,0395932
"481";849;10017;29685722,2306911
"1050";1708;9118;29720965,1956763
"1473";2364;34048;29848582,3559137
"125";179;15018;29984007,4609582
"63";84;15051;30171933,9950828
"593";1039;20062;30177812,3998306
"337";585;26015;30231194,6300976
"838";1404;15015;30243706,2995339
"482";850;10155;30266969,0437475
"232";374;24038;30271025,1571006
"251";417;25024;30274624,5007208
"49";66;10039;30278280,0734211
"679";1167;38041;30280115,2989404
"990";1623;10081;30281227,4532431
"1274";2038;9099;30286123,349979
"47";64;10080;30288602,0063588
"1500";2412;4050;30288838,4069523
"535";949;22052;30288978,1434508
"755";1280;37022;30290510,4306911
"87";123;19061;30296333,2413736
"1237";1988;9082;30300646,6117
"1582";2532;9044;30304856,6716407
"894";1488;10039;30305360,707249
"1173";1890;4050;30306010,601611
"724";1230;3200;30306046,1179315
"912";1508;12031;30306512,4081392
"1611";2584;11001;30311015,137516
"218";350;23048;30311643,495973
"1428";2279;11082;30312621,9962698
"289";480;29090;30312702,4787623
"911";1507;12031;30313355,4941926
"366";636;25131;30313544,349979
"964";1582;10090;30313779,0122935
"1154";1864;3010;30315137,190335
"706";1205;15007;30315667,5292074
"839";1405;15015;30316560,0348454
"637";1108;39025;30317674,1933024
"144";213;38060;30317818,381433
"1674";2680;2002;30318755,2384063
"991";1624;10081;30321171,8603647
"1591";2545;22052;30321730,7606614
"4";5;6049;30321732,3559137
"881";1466;3089;30323905,2277238
"521";926;38074;30324133,0995339
"111";160;7008;30325738,4532431
"998";1634;30016;30326556,3731244
"1425";2276;11013;30327363,5665962
"938";1541;18013;30327529,3357356
"266";434;29022;30328425,4366258
"505";895;39060;30331805,6271303
"1536";2462;12044;30333437,3677831
"1202";1933;8102;30334412,8295042
"1103";1792;6007;30335062,3980502
"250";416;25024;30335093,906062
"476";831;23085;30337055,5535398
"803";1361;26025;30338149,0734211
"1007";1647;8258;30341033,3582876
"83";114;30027;30346125,5179315
"963";1581;10090;30357474,8039849
"727";1234;3200;30358063,760068
"1457";2340;6100;30366883,5576941
"1562";2503;10103;30368950,3897416
"1090";1767;21040;30375605,5493855
"249";415;25024;30376335,6336585
"552";972;8250;30387714,5992371
"1226";1973;8103;30389295,0265368
"1140";1840;3010;30410580,9262401
"1657";2657;19003;30467872,8211956
"1553";2489;3150;30469022,5760917
"1525";2451;38064;30490616,5891481
"734";1244;6049;30517015,6846971
"71";95;15047;30548477,8075457
"166";246;10092;30562991,307249
"745";1264;39003;30574163,7238662
"708";1207;15007;30707935,6271303
"680";1168;38041;30708008,2099196
"1666";2669;2002;30708308,4556169
"883";1468;3089;30708663,3980502
"1508";2421;38038;30712065,0662994
"52";69;10039;30712661,4817297
"1461";2348;6100;30713512,0876644
"999";1635;30016;30716487,9962698
"315";543;23011;30717606,8146674
"313";541;21082;30718117,7155576
"1567";2510;10103;30718540,4455279
"191";287;2102;30718707,9933024
"861";1435;11092;30719527,7624419
"946";1557;3156;30720423,7007208
"1229";1978;8230;30720836,5203054
"1399";2236;1086;30723708,6906318
"1315";2103;18040;30724675,853243
"1627";2608;10106;30726606,6870709
"215";345;23048;30730551,8835101
"961";1578;10090;30809107,8075457
"550";970;8250;30851141,549979
"1631";2614;10106;31037639,1511659
"475";828;23085;31211075,644341
"122";174;15018;31263305,4752015
"272";451;29022;31385359,4283172
"720";1224;1030;31458057,2010175
"1524";2449;38064;31464484,6556169
"1557";2494;3150;31468857,1832134
"458";804;22089;31472761,801611
"762";1291;3038;31479705,9078425
"1523";2448;38064;31487345,7493855
"1015";1658;8258;31492133,1689701
"248";414;25024;31494517,9630353
"1558";2496;3150;31496315,9084359
"1088";1764;20062;31577246,9434508
"1649";2640;6049;31617737,0514626
"672";1159;10091;31622683,2324715
"880";1464;3089;31778737,2900383
"782";1321;3110;32039900,5298009
"1455";2336;6100;32234776,1594745
"1417";2261;25155;32308943,1689701
"503";893;39060;32540653,8941926
"1272";2036;9099;32627852,3873677
"1308";2093;39020;32723156,380246
"608";1056;1040;32730270,9885546
"1601";2561;3040;32739560,8698603
"1351";2167;8187;32790307,5001273
"1477";2376;3171;32797602,7565071
"1";2;6049;32800373,6401867
"982";1608;10120;32802341,4775754
"1338";2133;2011;32829778,2022045
"869";1451;11078;32832764,3096229
"1134";1834;2005;32866218,381433
"764";1294;3117;32880352,7149641
"606";1053;37020;32904622,7624419
"1623";2604;10106;32934233,2918187
"393";689;20041;32935021,5048751
"1471";2361;38048;32936504,9155576
"495";879;9085;32948473,1333617
"981";1607;10120;32949407,8479018
"1330";2124;2011;32954245,1731244
"1238";1989;9082;32973508,4722341
"1133";1833;2005;32974079,7683766
"707";1206;15007;32975194,7826199
"816";1376;15044;32976588,3125902
"1349";2165;8787;32983278,1541333
"1149";1857;3011;32983991,0111066
"402";713;25024;32989340,9909285
"520";922;7008;32997860,1084359
"713";1215;1030;33000029,4384063
"1624";2605;10106;33002257,3458247
"664";1151;10091;33007712,1511659
"1155";1865;3010;33012084,4194152
"1195";1925;10108;33016194,8437475
"1614";2590;8262;33016683,5944893
"204";310;21017;33019131,2900383
"1342";2150;9074;33025152,4520561
"889";1482;10086;33036695,5784656
"1261";2021;19051;33077608,1298009
"1084";1756;12045;33088973,074608
"1619";2598;8262;33189068,1671896
"1514";2434;37002;33412230,1262401
"584";1022;1059;33429918,9375161
"518";917;7008;33458044,3725309
"625";1090;1071;33527962,275795
"1292";2070;39059;33579057,1197119
"91";130;19061;33691110,7719374
"1436";2295;11082;33692878,833065
"51";68;10050;33693909,474608
"801";1358;26025;33694285,7879611
"739";1251;39003;33695045,5689701
"1482";2383;3171;33695049,2787623
"1161";1874;3010;33695580,9143706
"162";241;10092;33696109,1743113
"177";262;24094;33696184,0870709
"1183";1903;10108;33696648,6158543
"1568";2513;3104;33697597,2235695
"160";239;10092;33698127,9208988
"1642";2629;6049;33700173,7695635
"227";365;23048;33701489,9950828
"323";553;23011;33701959,8419671
"1157";1868;3011;33702311,8935991
"1424";2274;11013;33766660,1030947
"604";1050;37020;33878574,0829166
"443";786;1071;34065587,7434508
"1335";2130;2011;34075417,8022045
"960";1577;10090;34315894,2692668
"1208";1939;8102;34383523,8781689
"1100";1787;6007;34419618,8615517
"1533";2459;38064;34425323,3268336
"1430";2286;11085;34425719,3772787
"1559";2497;3135;34447557,0360324
"978";1600;9021;34596601,3944893
"877";1461;3089;34721564,4597712
"1539";2469;12044;34795374,4639255
"373";649;20070;34935693,7891481
"612";1064;1014;34947526,5013143
"1585";2538;22052;34952540,5119968
"629";1097;22052;35017777,0176347
"1414";2258;25155;35049695,1938959
"1521";2446;37002;35145880,865706
"1639";2624;21041;35449361,6835101
"533";947;22052;35522517,5986436
"501";890;39060;35549462,0888514
"1029";1676;15055;35554051,8265368
"1452";2332;6100;35666095,8271303
"245";406;25106;35735749,7695635
"474";827;23085;35858708,5796525
"483";851;10017;36143888,1102163
"1375";2203;39052;36174110,8627386
"554";974;8250;36179532,8864775
"654";1136;11007;36231711,7707505
"1044";1698;8268;36324775,9167445
"365";635;25131;36388810,1464181
"379";658;20070;36396691,3321748
"1196";1926;10108;36411900,2674864
"1451";2331;6100;36461318,0924122
"463";811;39051;36511011,4158543
"949";1561;3156;36518295,6354389
"473";826;23085;36528969,6194152
"48";65;10080;36592087,2846971
"581";1019;1060;36672984,5553202
"1575";2522;3104;36789771,9102163
"1179";1897;4050;36820411,3030947
"916";1512;12046;37078260,3891481
"1466";2353;6100;37081146,2538365
"1180";1898;4050;37093807,9232727
"22";30;19034;37417904,5351422
"1363";2186;9035;37626975,6461214
"732";1242;6049;37849568,5363291
"491";873;10155;37859109,5660027
"1286";2063;25056;38090789,3298009
"973";1595;9022;38154093,9493855
"1089";1765;20062;38181354,1624419
"1169";1882;2011;38220457,7345487
"1530";2456;38064;38241020,9333617
"673";1160;38041;38268104,5102163
"692";1185;3107;38327077,4722342
"633";1102;22052;38417363,5772787
"995";1629;30016;38501334,3339552
"82";113;30027;38956647,3707505
"794";1347;3166;38971467,0437475
"1019";1663;8258;39028922,3493855
"1101";1788;6007;39031712,3980502
"917";1515;12000;39386274,1137772
"587";1027;1060;39412801,6075457
"1241";1993;19002;39452796,2265368
"591";1033;20062;39456678,8045784
"1328";2122;2011;39494092,0022045
"761";1290;3117;39505186,021789
"1262";2023;19051;39608762,381433
"845";1413;11008;39802764,7470116
"134";192;30018;39979941,1529463
"54";72;10050;40125117,0158543
"1512";2429;38038;40157712,327427
"1394";2229;1086;40161853,1013143
"1294";2072;39059;40195366,285884
"1489";2392;3132;40197245,4965665
"846";1414;11008;40261511,2846971
"1108";1799;12046;40274739,9838068
"572";1007;1059;40287217,2710472
"326";563;26015;40287412,1048751
"1561";2499;10103;40438415,3897416
"1510";2424;38038;40471344,2223825
"1679";2687;9093;40787222,434252
"1005";1643;8258;41012079,3434508
"1337";2132;2011;41097373,1149641
"385";665;20070;41159075,8496822
"700";1196;3115;41215331,1849938
"493";876;9085;41252694,2140739
"80";109;30027;41256404,0164478
"1541";2474;3104;41315714,6105131
"387";670;20070;41556268,5381095
"1038";1687;3174;41604224,5054686
"1143";1845;3011;41853043,4918187
"662";1149;10091;41965467,6206021
"470";821;39051;41974518,834252
"605";1051;37020;42062415,6906318
"674";1162;38041;42313893,4176347
"173";256;24094;42407913,8668929
"653";1135;11007;42774339,5760917
"90";129;19061;42831008,895973
"1177";1894;4114;43208674,4793558
"1087";1763;20062;43326697,581433
"1137";1837;3010;43466282,3505724
"678";1166;38041;43543004,1541333
"154";225;25007;43631024,0010175
"648";1129;2074;44777716,180246
"705";1204;15007;45001154,7398899
"1597";2554;3040;45133514,2556169
"213";332;21017;45370534,2538365
"602";1048;37020;45497863,3197119
"8";9;6049;45613716,9428573
"1470";2360;38048;45728383,390335
"779";1316;3166;45859505,9832134
"837";1402;15015;46094698,5559137
"188";279;25065;46120295,9054686
"56";74;10039;46132056,8206021
"1041";1692;3174;46419322,9167445
"1031";1679;15055;46556187,3826199
"1681";2689;9091;46597947,3541333
"835";1400;15015;46634763,6022045
"1506";2419;4056;46798476,665706
"690";1182;3107;46820722,6864775
"68";91;15047;46912734,2876644
"1129";1827;2005;47148028,4099196
"563";985;10074;47194112,2324715
"695";1189;3115;47366634,1298009
"685";1176;3107;47378201,7642223
"507";897;39060;47559630,9772787
"1299";2078;39059;47590126,5820264
"1634";2617;21041;47712091,5927089
"1606";2578;10081;48150432,918525
"419";744;4216;48358459,8841036
"358";626;25035;48734909,6894448
"499";884;9085;48841655,7677831
"976";1598;9022;49089944,8010175
"1168";1881;2011;49104512,5618484
"1507";2420;4056;49299775,6146674
"394";691;22025;49378296,8870709
"620";1076;1071;49494837,7208988
"109";158;7008;49655145,6348454
"1017";1660;8258;49691002,8277238
"1014";1657;8258;49918564,7944893
"996";1630;30016;49919609,7927089
"1093";1773;1030;49922324,7084359
"582";1020;1060;50039162,0022045
"1520";2445;37002;50060780,4722342
"1672";2678;2002;50191697,4348454
"748";1267;39003;50196743,9677831
"152";222;25007;50332003,4395932
"736";1246;6049;50464292,5719374
"1072";1740;8265;50645184,1855873
"1527";2453;38064;50870507,6140739
"937";1539;18013;50899618,465706
"783";1323;3110;50940904,1731244
"843";1411;11008;50942907,928614
"1152";1860;3011;51469019,2817297
"1555";2491;3150;51918791,7333617
"519";920;7008;52025490,7974567
"183";272;24094;52372806,9298009
"1404";2243;15043;52418802,0152609
"1235";1985;9082;52593125,3214923
"1384";2216;1086;52774581,0496822
"364";634;25131;53040622,0520561
"798";1355;26025;53056878,464519
"1210";1941;4134;53239791,5950828
"1171";1886;2011;53352011,7096229
"579";1017;1059;53814016,2247564
"561";983;10073;54032714,9517594
"1145";1850;3010;54173344,8900383
"601";1047;37020;54303236,2289107
"1214";1949;4134;54697264,0989404
"131";188;30018;55371657,1559137
"517";913;7008;55793261,5713439
"712";1212;1030;56995717,9114033
"1250";2008;23085;57039699,8538365
"102";145;19061;57195325,8651125
"576";1013;1060;57499325,7309879
"1099";1785;6007;57696789,8508692
"1464";2351;6100;59138871,1582876
"777";1310;3117;59522074,5119968
"1123";1818;2005;59779692,3232727
"997";1632;30016;60403781,5654092
"58";76;10039;60418336,7511659
"1303";2087;39020;60650860,4508692
"1340";2148;9074;61255283,4105131
"858";1430;9063;61527348,621789
"389";672;20041;61530275,3404834
"1511";2427;38038;61572942,8437475
"958";1575;18064;61638888,4550235
"1314";2102;18040;62083042,2247564
"698";1193;3115;62115479,6105131
"1358";2174;9035;62183962,5280205
"1586";2539;22052;62246836,2989404
"866";1445;11092;62519924,9760917
"900";1495;10050;62555931,9428573
"1243";1995;19002;62932492,4977534
"630";1098;22052;63138309,9143706
"1388";2222;1086;63142745,3677831
"899";1493;10050;63204897,560068
"471";822;23085;63250216,580246
"768";1299;3038;63788511,0336585
"701";1197;3115;63806626,8176347
"933";1534;10039;63826857,3582876
"1612";2586;11001;63959718,549979
"1503";2415;4050;64362619,3084359
"791";1341;3166;64437858,9001273
"1282";2054;9061;64530117,2627386
"890";1484;10086;64800424,6811362
"211";327;21017;64834701,9879612
"658";1143;11007;64840898,1369226
