"";"idno";"INTNUM1";"rowsum";"count"
"1475";2370;3171;17844025,7446377;8
"1476";2375;3132;16974441,2793558;8
"1491";2397;3023;13360276,7208988;1
"1492";2400;3153;17819990,2894448;5
"1497";2408;4056;69401503,7606615;5
"1508";2421;38038;30712065,0662994;6
"1514";2434;37002;33412230,1262401;8
"1522";2447;38064;21014421,8621451;12
"1534";2460;12044;13333129,1191184;6
"1540";2473;3104;10301280,2876644;21
"1552";2486;3150;4992516,2668929;8
"1559";2497;3135;34447557,0360324;1
"1561";2499;10103;40438415,3897416;7
"1577";2525;9044;5961577,8585843;8
"1595";2552;3040;26336038,8289107;7
"1602";2571;25042;25563688,6069523;4
"1610";2583;11001;10450235,6241629;4
"1614";2590;8262;33016683,5944893;8
"1622";2603;10106;66049988,0164478;11
"1633";2616;21041;6721041,37668519;9
"1656";2656;19003;23041372,3226793;9
"1665";2668;2002;24674435,8099196;10
"1675";2682;9093;12489839,6870709;4
"1676";2683;9091;24044242,790335;7
